text,label
Game good,Positive
It's not accurate it's not as accurate as csgo why launch the game if it's not accurate.,Negative
"The game is good, not great. The story and artwork are what keep me going. The game mechanics is poorly executed. For instance, when I approach my horse it would be better to display the contents of my saddle bag and what the horse is carrying. Instead I have to use a button, then another button to select an item. It is confusing. It is the same with weapon and item selection...Confusion. Why not have a menu similar to Fallout 4 and 76. Simple! I hope that this wheel menu is not the future of gaming. Aiming is crap to put it politely. I will continue to follow the story, but it will take months. I can only take about 45 minutes to an hour of the game. Seems like more work than actual fun.",Negative
jeejee,Positive
Poor UI with world interface. Accidentally deleted game when tired.,Negative
Great game and story,Positive
"good game, but lots of cheaters",Positive
so good,Positive
What the f is this tutorial maniac madness. I've played ofr 154h before and I have MANDATORY training??????? Wtf.... This game is crap. Don't buy.,Negative
"the movement is the worst garbage ive ever seen. I could eat a steaming hot, fresh out of the oven, seasoned by gordon ramsey, 10 inch diameter cow turd and enjoy it more than the movement mechanics of this game",Negative
fun,Positive
"I only really like Bethesda games. So far I'm enjoying it. I am having some issues with occasional hard crash to desktop however. this is my first PC build so it may be, I need to tweak some settings.positives- some of the artwork is stunning, the music is beautiful and its got all the mechanics i like and expect from BSG.Negatives- yes, there are too many load screens, they don't take long but it is jarring. The companions are a bit annoying. I suck at space combat so being forced into it the minute i arrive in a system gets old.in summary, enjoying the main quest so far, looking forward to see what Bethesda do, in regards to updates, DLC etc.",Positive
nobad gamedont think whytrust,Negative
Just play HoloCure. It's a better game than this one. And it's free!,Negative
Bro is not Blood born,Negative
"Roll a dice, reload save, die and reload simulator 2023",Negative
It's a fun game!,Positive
love it,Positive
"Story, combat, gameplay are all simply outstanding.",Positive
Tired,Negative
"Valhalla is far from the strongest in the series, but it is still better than AC3.",Positive
i like,Positive
goood,Positive
"Product received for freeIf i wanted to play a timeless puzzle game that was fun for everyone, i would download candy crush.",Negative
"Early Access ReviewThis game has become spyware. in their new TOS they request to monitor your eye tracking, finger tracking, body tracking, pretty much any type of tracking you can think of. they can also record ANY of your conversations, even in private worlds.I thought their decision to add EAC to a social sandbox was bad. This is so much worse.The Devs are absolutely VILE. this is one of the most blatant invasions of privacy of ever seen in a game.I'm uninstalling. the greed makes me wanna puke.",Negative
they really really changed the game and not in a good way.,Negative
good,Positive
GGreatttt,Positive
"Theres alot of stuff to do and figure out, the game has a definate learning curve when it comes to crafting, ship construction and base building, there are times it can be overwhelming, but mastering such a complex system is very satisfying.",Positive
fun,Positive
what do i even do?,Negative
Good,Positive
Meh.,Positive
Worst fifa by far. Dead game,Negative
i liked it cause of the graphics and the combat but now i have it it doesnt even let me load it now,Negative
add sex,Negative
Completely unoptimized. constant black screens and coming back to windows. But overall new road system is worth upgrading from part 1,Positive
"Worse game, i dont uderstand why i try this game. Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags  Lags, Lags",Negative
I LIKE THIS GAME SO MUCH,Positive
its ok,Positive
The game is really slow and has minimal gameplay. I will keep playing from time to time and see if it is still boring,Negative
"Peak game, hopefully grand theft auto 6 will also be a grand game considering the trailer is coming out tomorrow lol",Positive
crashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrashcrash,Negative
The best way to describe the spiderman experience would be something like this. Basically you are                                       going to restart the game every 20 minutes or every time you take a fast attemptat a challen                  ge mastery.game is great but annoying to restart so often. the software for Sony has stopped asking for crash reports at this point. basically not a fully functional game. If i didn't buy it on super sale i would be extremely mad. Not a AAA title.Not worth full price.,Negative
"Product received for freewhat can I say about this game that hasn't been said already. This is my favorite game of all time and I have sunk so many hours into it. The games really do take a while but after you start playing it is almost impossible to stop. It is really one of the best entry points into the civilization series and strategy games as a whole. Good graphics, fun game play, awesome dlc, and an amazing community. The only thing i can really dock against it is how expensive the dlc is, but i think that it is completely worth it",Positive
Another instance of steam needing a middling buttonFun with other people. One of the genuine worst starts to any survival game alone though. Love items despawning because I turned my back for two seconds when my inventory was full and went to put something away.I have had a lot of fun playing this with my wife in the past. Tried playing solo as our work schedules don't line up and it's terrible.,Negative
i couldnt get into it at all. it would be worth it if it cost less.,Negative
Kept crashing on steam deck even though it's verified,Negative
Good game,Positive
major FPS problem makes game unplayable,Negative
Great game but no next gen for pc is a bummer!,Positive
Best game I've played in years.,Positive
"ITS NOT AN ASSASSINS CREED GAME, JUST A GOOD FREAKING VIKING GAME. TRUST ME ITS REALLY GOOD ONCE YOU PASS THE PROLOGUE AND SOME SKILL POINTS UNLOCKED THEREFORE. THE GAME REWARDS PLAYERS FOR RISKS AND ALSO IT IS NOT A HARDCORE SOULS LIKE GAME, JUST A GOOD OL RELAXING GAME",Positive
A big letdown.I really want the lights game and I'll say to be fair I have a lot of fun with the side content that was actually scripted. I felt looked down by all the repeatable activities and main story felt very boring.  I will play it again but once modders have added some cool stuff.,Negative
too hard,Negative
"This game is fun , too many newbs. hehe",Positive
bad game,Negative
"One of the most boring games I have ever played. I could not even finish it. The characters, story, and world are uninspiring. Don't waste your time, just play Origins again.",Negative
like,Positive
Shark.,Negative
Product received for freeFun and friendly community,Positive
"Boring enemy design, boring level design, and a story that flushes itself down the toilet in the second half makes Lies of P a pretty soulless and unfun experience. It's well-optimized and some weapons are fun to use but that's about all the praise I can give.",Negative
"The landscapes are amazing! the story line is great, and the combat is very good! i do recommend, even for people who are newer to this kinds of games.",Positive
No this game has been sutting down on me intentinally all the time in the middle of a game and mysteriously my file gets crrpt and I can't finish my game its pathetic regret I ever wasted any money on this,Negative
Gameplay is wildly inconsistent. Don't buy UT packs and give these pricks anymore money.,Negative
"Tuff but fair, I would say. Great game!",Positive
"Too often , late goals, injuries galore, missed goals, unrealistic results, changed alot",Negative
Poorly designed imitation of an indie game,Negative
"This game was pretty great, and then me and my friend got to end game. The free specializations you can immediately unlock are fun, but the system to unlock the next ones is absolutely atrocious. I am currently attempting to get ""Firewall"" and the ""kill enemy or named enemy with while they are afflicted with X status ailments"" got old pretty fast. It is always fun to play ring around the roses with a named enemy that will do any thing and everything to avoid anything that involves the very concept of a status ailment. It is also wonderful when you have a status ailment on your weapon, the enemy is suffering from said status ailment,you kill them, and it doesn't count for some reason beyond your understanding. But don't fret, if you don't want to deal with this absolute not garbage tier system, you can always buy the 1 year pass and get ""Firewall"" without all the hassle. How lovely, I just love it when companies decide to pad their game with terrible systems and then offer a ""way out"" by presenting your wallet to the screen to the vacuum everything out of it.This kind of thing should be expected though, it is Ubisoft after all.",Negative
"Great looking game with nice gameplay mechanics, however the voice acting is awful with little to no emotion expressed with terrible sound quality. Being pulled into a cutscene following the completion of a task, or just talking to an NPC  is so jarring it completing takes away from any immersion that the rest of the game provides. Complete waste of potential as its enough to ruin a story driven game.",Negative
Outstanding game! Love the story as well as the exploration! Keep up the great work!,Positive
"yeah, it's pretty good. once you get used to it.",Positive
ruined the game by pushing woke agenda which made the first spiderman a far more enjoyable escape.,Negative
Product refundednot fun anymore,Negative
bad show,Negative
Early Access Reviewts is ass,Negative
"""It's a really nice and mellow game, featuring lovely pixel art and animations, sprinkled with a good dose of charm and humor. The game is quite packed with content and activities, yet it manages to keep a relaxed vibe without overwhelming you.The core loop involving diving for ingredients, managing your restaurant, and progressing through the game in a role-play fashion is rather engaging. I found myself more invested in it than in most roguelites.I decided to share my thoughts after completing the game, and I can genuinely give it a warm recommendation. It's a pleasant experience, offering a nice balance of visuals and gameplay that might just be the cozy escape you're looking for.",Positive
"Kinda lame, your reaction time is slow making timely blocks impossible. All the same moves all the time gets old.",Negative
I just don't like it.,Negative
"too many glitches, worst than last year's",Negative
1 playthrough turns into 2nd playthrough and then 3rd playthrough..,Positive
"Looks amazing and plays extremely well. However,m I cannot recommend this game unless you plan to spend the entirety of the game playing it in one go as there is no save functionality. The game has no autosave feature and the manual save feature does not work. Returned for a refund.",Negative
"This game is broken and has been nothing but trouble and Rockstar Games can't seem to even get their own game running. I have played for over 100 hours and have spent 100 hours just trying to get this game to launch and it will just close down before ever starting. This game is good when it works but it seems many people have this issue and Rockstar is doing nothing about it. What a joke, the richest video game company on earth can't be bothered to make sure their products work.",Negative
Acziwmentes,Negative
no cheater protection... game is senseless.,Negative
This game is constantly crashing!!!,Negative
To many issues and bugs.  Devs focus on items few care about and ignore issues that people constantly complain about.,Negative
"This is my kind of game. One that I can play my way. No fixed linear story based missions with only one successful outcome. A game that allows me to play the story but also leave it behind for a while and do other things, in my own time and in my own way. Over 400 hours played and I am still immersed in all the rich story telling and diverse characters that light up this amazing universe. Bethesda, I thank you for creating a wonderful universe for me to play in.",Positive
I have enjoyed my time playing this game. There are a bunch of choices that completely change the game experience. at the time i wrote this I am at 227 hours.,Positive
force close too often,Negative
It's obvious but don't play this if you don't like single player games.,Negative
Early Access Reviewbad,Negative
no,Negative
"Civ V is so much better. This game feels sluggish and unresponsive, and it's systems start to feel extremely overwhelming in the end game. Natural disasters and climate change are stupid random mechanics where the game just decides to screw you over every once in a while. Then there's the combat. As someone who likes to play conquest only victory, this is just terrible. In the late game taking a city is ridiculously tedious.Just play Civ V, they screwed this one up bad.",Negative
hot fruity wizard and hot fruity vampire,Positive
"As a long time skyrim,player as well as fallout i can say Im happy with it would give 5 stars idgaf",Positive
"Gameplay overall is okay but it is a massive downgrade from the first game when it comes to story, characters and just general setting of the game.Game also crashes randomnly. You can play for a week without issues and the next day it crashes 6 times straight.",Negative
"This game is valves masterpiece, Nothing they have made so far has passed it",Positive
Product received for freeit a good game,Positive
"Very good gameplay and graphics, one of the best storylines I've ever seen.",Positive
"6 times ive installed this and given up everytime, tis a bore fest!",Negative
Worst Football Manager ever.,Negative
One of the most overhyped games ever to release outside of anything Final Fantasy. The only thing carrying this game is the artstyle and the narrator...that is it...that is all that is worthwhile in this game.At the highest level of difficulty the only thing worth running are hit chance increases and building to stunlock the enemy while reducing stress and healing. That is it. Same thing every dungeon...no variety.Of the different character classes you can have in your party only like 4 or 5 are really useful. The rest are just not that great.No real replability despite the initial illusion that it might have some.Fanboys are cancerous simps.,Negative
yes,Positive
A skeleton with halo and a knife.What more can you ask from a video game?,Positive
"Brilliant game, really fun and chill",Positive
just a good game and fun aas hell ngl,Positive
"I haven't played this game for very long, but I ran into a serious bug where I couldn't harvest anything. So had to rely on my team to gather food and a lot of the resources for me. But regardless of the bug I don't think it would change my opinion of the game very much. This game is boring. The crafting mechanics are fine, but there's nothing that separates it from other games that have crafting. There doesn't appear to be any sort of goal other than survive as long as you can. It's visually boring. All islands look basically the same and when you're not on an island it's REALLY BORING. I guess if you really love survival style games and crafting maybe you'll enjoy this, but there just isn't any depth to this game.Maybe the game gets more interesting the longer you play, but it's so boring so quickly that it doesn't feel worth it to keep going.",Negative
"Beyond confusing with numerous things going on and multitude of texts, that will require hours to understand how things work. If a game forces you to read wiki guides to understand its gameplay and to be able to progress it then its not that good of a game.",Negative
"This game is equivalent to flipping a coin, if it comes up heads you lose, if it comes up tail, flip till it comes up heads.",Negative
hi,Positive
"A very, very bad implementation of a sword and magic rpg. Just with guns. This game manages to be highly frustrating and deeply boring at the same time, which is quite a feat.Bought discounted for a few euros, and even that was a waste.",Negative
i love this game,Positive
"Product received for freethis is an awesome game and  probably the best souls like out there , definitely the spiritual successor of bloodborne , this game is goty for me",Positive
Good Game,Positive
help!,Negative
If it's the darkest dungeon then how come I can still see it.,Positive
fun.,Positive
el tomas nancy divisiones dosgod,Positive
lol,Negative
yes half elves are hot,Positive
Same game every year. If anything it's even more BS than previous versions,Negative
much better than before but still needs a lot of work.,Positive
You get to pet a manatee.,Positive
Fun and addicting.  Def Recommend to anyone who likes pixel games,Positive
"The game was so fun at the start when I was just catching fish and running the restaurant but the devs try to make this game so boring for some reason. So many ""tasks"" that you have to complete are you just holding spacebar and carrying an object underwater from point A to point B, no challenge, no fun just tedium.There's an underwater fish people village that you visit early on and while that sounds really cool it is one of the most boring parts of the game. The villager quests are so boring and uninspired once again consisting of the same hold space here and move to here mechanics.A good example of the devs realizing how slow this game is yet doing nothing about it also happens in that village. In the underwater village you move so slowly and the village is massive, simply crossing across it is a 2 minute excursion. The devs must have realized that because they added a underwater taxi that you can ride only in that village, except it triggers a cut scene each time you summon it, it disappears whenever you go into any building and it uses that villages exclusive currency each time you summon it again. Thereby making even the fast travel slow and punishing.Can't wait for the sequel to this game where you manage a paint drying business.",Negative
Product received for freethis game is suck,Negative
Noice.,Positive
good game but i keep getting stuck in tasks and unable to move or press anything unless i restart the game,Positive
good,Positive
Favorite PC game,Positive
Forgot how it was,Positive
Buggy mess,Negative
"everything about 2042 is a downgrade from every battlefield game leading up to it. Worse graphics, much worse performance, worse environmental interaction, etc.",Negative
The game is decent.Nothing spectacular.Graphics are both good and bad.Story?  Not sure I explore and do what I want.A lot of repeatable exploration sites are to common honestly.To be honest though . . .I bought it for the modding community.,Positive
awesome looter shooter,Positive
I LOVE DOGS,Positive
fun only rule just goof about,Positive
Incredibly awful - do not buy,Negative
vey recomended games,Positive
"I enjoy the choice of many civilizations, the challenge, the competition, and the multiple routes to achieve victory. It is a long-time favorite of mine, which I highly recommend when feeling up for a competition or when passing the time.",Positive
its a good and im gonna start playing on pc,Positive
"This is my first time playing D series. A nice and good experience overall, but scared away by the high price during it's first release! Bought it at half the price!",Positive
Why my 2k can't be updated? Missing file priviledges,Positive
fun game but can be quite challenging to beginners,Negative
dogwater,Negative
meh,Negative
I want Astarion to suck something out of me hard......and no I'm not talking about blood,Positive
i liked boinking the bear,Positive
my peenar hurt,Positive
Incomplete and bland.,Negative
dont expect the game to tell you anything of use,Negative
This is the worst NBA 2K up to date. 2K1 is much better than this one,Negative
"butmomitslikethefirstgamebuticanplaywiththisnativeguyiknow,weplaythegamelikeonayearlybasisfornoapparentreasonbesidesfunomgilovethis.",Negative
garbage,Negative
2.0 update turned my opinion around. Great comeback from abysmal launch,Positive
Good game worth buying,Positive
fall to a cave from a mountain height some how survive with possible small terminal brain damage get attacked by monsters then get called evil for defending yourself. i guess just hug the person trying to murder you. not my cup of tea.. or rather calcium.,Negative
"This is fun! It's not perfect history, and I'll never love 3rd person gameplay on a pc, but its a genuinely fun game about doing cool viking stuff. That's all I wanted.",Positive
worst shooter of life,Negative
bad game design and tons of bugs. I kept trying to go a little further hoping something would improve but the core of the game is just lazy.,Negative
Hours speak for itself.One of the Greatest Games of all time.-sky,Positive
"Everything. If you're a completionist, just don't. It's great, but don't.",Positive
"The Game is fun. Reminds me of fallout along with skyrim. I know some people were upset by the ""soft borders"" on planets and honestly I don't mind them. You can still land anywhere on the planets along with I feel that if there were no soft borders the planets could feel overwhelming. I highly recommend this game,",Positive
awesome,Positive
good game,Positive
It's different but also a lot like Diablo 2...i knda like it. nice game,Positive
Early Access ReviewIts full of a bunch little kids that are furies and promotes pedios and sex offenders.,Negative
btec bloodborne. its alright.,Positive
"I am 56, my wife is jealous of how much time I spend with my in-game husband Sebastian and my 2 in game kids. My daughter is upset that I missed her birthday party because of the 1.5 update. I overall have now lost my wife and my kids and all that's left is Stardew. Stardew is my savior yet it is my curse. I love and hate this game just as I love and hate myself. Good game tho",Negative
cancer ranked system,Negative
They Fixed it. It is now quite good,Positive
"they keep nerfing the graphics. when i first got this game i had no issues playing it, now i have to turn everything way down and interiors are worse than the entire city. every nvidia driver it gets worse.",Negative
its funny so its good,Positive
Can't wait for the remaster.,Positive
Product received for freei want a refund,Negative
"very poor as a ""type of game"" anyway, and in general things are even worse! in a few words, was it ever worth the effort to ""spend your day playing this game"" now? he was running around... words are so unnecessary that they can't describe the carpet of the state of this game! ! !Those who find something positive in this particular game, what can I say!Many bugs, non-existent game changes. .",Negative
so far ok got overwhelmed and stopped playing,Positive
Is gud.,Positive
"Your not getting a better football sim. It's that simple,",Positive
I started playing after all of the big updates.  Easily one of my favorite games hands down.,Positive
"Not a very memorable experience. a lot of fetch quests, and a lot of pointless back and forth traveling quests. I don't recommend buying it at this time.",Negative
good,Positive
As wide as an ocean with all the depth of a puddle,Negative
This is the best game ever made. Why have you not played it yet?,Positive
I played this game one time about a year and a half ago and five minutes into playing it the game short circuited my cpu fan and then my pc was broken and the cpu kept getting fried for about three months and I will forever have a problem with this game for it.,Negative
Really good graphics,Positive
dont,Negative
"Assassin's Creed Valhalla is a relaxing and immersive game that takes you to medieval England as a Viking warrior. The game has a vast and stunning world, a rich and engaging story, and choices that matter. A great game to escape to another time and place.",Positive
great game,Positive
so many cheaters and bots,Positive
"full of cheaters even with prime, this game is garbage asf",Negative
"Do not buy this game, I will kill you if you buy this game. When I play this game, I think about how much I hate this game, but I still play it.",Positive
"Still G-A-R-B-A-G-E, don't buy.",Negative
I NEED MORE MORE PICTURES OF SPIDER-MAN!!,Positive
"The game knows what you wants, then only offers the opposite until you have dragged your way to a high enough level. Aggravating.",Negative
good,Positive
relaxing and chill game. highly recommended,Positive
Always enjoyed the assassins creed games and this one also hits the nail on the head and is very enjoyable,Positive
not that fun.,Negative
amazing as all Civilization games!,Positive
"Super good dialogue with multiple different awesome characters that gives the game life.Every single decision in this games leads to a different result and makes it stand out from the majority of all the games out there,Really recommend to people looking for something new with more of a relaxing viewpoint of a game.",Positive
Not much has changed if anything its worse. My players are all injured every day. selling is still a pain and the player usually doesnt want to leave. i can beat man city 3-0 but then lose to teams like Luton with the exact same players?,Negative
Kinda mid tbh,Negative
My monke brain likes this game,Positive
UBISOFT,Negative
I can't rizz Robin to break up with Demetrius and become my egirl,Negative
This game is just brilliant. Every time it threatens to get a little boring a new element is introduced. Tasks never get boring. Many objectives to keep you busy that can also be ignored. A masterclass in game design.,Positive
Beatifull game,Positive
WeWe,Positive
its sooooo chill and so good,Positive
This is the first game I've played that's similar to Elden Ring that I've absolutely fell in love with. Worth every penny. CHECK THIS OUT!,Positive
"This game is dead.I tried to play during prime time, in the morning, during the day or in the evening. I can barely find a game with enough players in itI start the game, search for a lobby and find a lobby with 3 players in it-i close the game",Negative
"The game crashes on launch.First off, I just purchased this game only a few days ago. I have never played it before, I haven't installed any mods, but I did purchase the game together with the DLC. I however haven't managed to reach the main menu.After launching, it shows the opening where it says ""cyberpunk"", and then it crashes, right back to the desktop. It asks me to sent a crash report and what not.I've tried everything I can think of. I started by verifying integrity of game files, reinstalled the game, reinstalled nvidia drivers, ran in admin, and skipped the CD project red launcher using ""--launcher-skip"" in the launch options, but nothing changed. Also, my computer specs should be well above the minimum required to run the game.I have been trying to launch the game for a couple days with no success. I'm out of ideas and don't know where to go from here. I don't really want a refund, because I am genuinely excited to play the game, but I simply can't. Any comments with help or suggestions are appreciated.",Negative
Early Access ReviewGreat,Positive
The matchmaker is a joke.,Negative
good,Positive
I would wait for a sale. Still did not surpass Skyrim but still a fun game. On my second play through.,Positive
"very nice game, it is very mythologized",Positive
yeah its a pretty good time waster,Positive
I found my father!,Positive
good,Positive
"too many bugs, cant be in war",Negative
I swear this game didn't have an impact on me. I'm normal. I'm normal. I'm normal.,Positive
"Top notch stuff. Never played any of the other Diablo games, so I don't have to bias that others have. However if this is your first step into the Diablo franchise, it really is a great game.",Positive
Early Access Reviewa guy whipped it out infront of my 9 year old brother and now hes in a comanot recommended,Negative
"This game give me anger issues,this game is completely broken, the ai is just terrible, offensive players will fail golden opportunities just looking as the ball go by, man i have some of the best defensemen on the planet playing for my club , i have 5 defensemen including 3 cb wich are Acerbi , Bremer and Christensen,  and my games turn into totally retarded goal festivals as they just look at the opposition picking their shots and putting them in the back of my net, the thing is, im not even losing by i am still getting so pissed off that my games end up being 8-6 its ridiculous, Nick Pope getting scored from outside the box as a daily basis because lol i guess, even tho im winning pretty much all of my game i still close this game being mad af.",Negative
NIce Game,Positive
fun,Positive
too hard,Negative
"I've played this game first on my play station during the 2020 lock down and it was the thing that kept me busy for days at a time, even now on PC it keeps me occupied after work and has me daydreaming about expanding my farm.",Positive
"Fun game. I enjoyed exploring planets, setting up outposts, gaining skills and cool equipment, and killing bad guys. But it still has WAY too many bugs. Bugged quests were filling up my quest list, and then I reached a point in the main quest where I simply can not play anymore. I'm stuck drifting in space.I'm tired of reloading old save games to try to find a point where I can do... something.Maybe in a year or two when they work out some of the bugs?",Negative
its good IF YOU DID NOT HAVE TO RE WRIGHT THE BIBLE TO GET ANYTHING DONE LIKE JUST MAKE THIS GAME EASIER PLEASE JUST WORK YOU NEVER ENPLANE WHY ANY GLITCH OR ANYTHING HAPPENS YOU SUCK AT FIXING ANYTHING AND FOR NO REASON IT DELETES THING 2 STARS IT COULD BE GOOD IF YOU REALLY WORKED ON IT BUT WHY MAKE A FUN GAME WHEN YOU CAN JUST MAKE IT HARD FOR EVERYONE.,Negative
its a good game and has very good graffics mamba out,Positive
Tons of fun and easy to pick up,Positive
Nope,Negative
"Kill'em all type of game. No need for deep thoughts. Scenario is very scripted, is light, and fun. Characters are varied enough. Overall a fun game.",Positive
its good rpg game,Positive
"In essence, Skyrim in space. Says it does everything but does little in anything.Is that enough in 2023? No.And yes, mods will be the only thing keeping Starfield alive going fourth.",Negative
nice game,Positive
big ups ubisoft,Positive
Neat,Positive
"denuvo is stopping me from playing a game i rightfully bought, i had to uninstall the game in the hope that if i reinstall it again it will work but it still kept showing the same thing. im soo annoyed",Negative
"Fun gameplay, when it actually functions. I bought the game because i heard the stability issues were better than when it launched. My god this must've been a disaster a year ago. I thought I was having PSU issues with my PC because this game constantly blue screens my entire PC. I've never got more than 2 games in a row without my PC blue screening or locking up so that i had to manually power cycle it with the button on my case. Crashing is one thing, but this game is probably harmful to your PC. How they haven't fixed this in 2 years is pitiful.",Negative
"I mean if you're into these arcade-like games I guess you could say it's fun. For me, not so much.",Negative
"While CIv 5 is an amazing game, the support from the company is not existent as they continue to push out random tweaks which breaks the game for a large number of players in the community. I can't justify even buying Civ 7 when it comes out since Civ 5 and Civ 6 have so many issues and they won't address it. It was working fine then they added a launcher and ruined it for so so so many people.",Negative
no skibidi toilet,Negative
Product refundedi had to refund it. game was so slow for me. 19 minutes of gameplay before u make ur name and character... I know i wouldn't have had over 10 hours gameplay if i kept it.,Negative
buggy weird disgusting mess.,Negative
Early Access Reviewoutside,Negative
"This game is amazing you can conquer other civilizations advance your own a long with many other things and that's why I have spent over 300 hours playing this game, and I hope you enjoy it just as much!",Positive
Its super wholesome,Positive
Is this a good game? No.Does it have a bara werewolf class? Yes.,Positive
Nice,Positive
"What an incredibly fun game! Swinging around New York City feels great, and the action, cut scenes, graphics, and characters are first rate. I'm looking forward to Spiderman 2!Still, it's short. Get it on a sale and expect to have a great 15 hours of gameplay.",Positive
this game is so buggy my  raft goes on a wave and it goes so high in the air and it keeps making me drown,Negative
so fun to play,Positive
3  years later and this game is still completely garbage lol its just garbage in 4k now.,Negative
bok gibi skinleruzun yukleme ekranidoku bozulmalaribotlarin olmasibes para etmez oynamayinhileler cabasi anti cheat i kapata biliyorlar,Negative
First game was better,Negative
Fun,Positive
"Overall a great game that's very enjoyable.  Building an empire feels very satisfying and there is a lot of depth that isn't immediately apparent, such that I am still learning new things about how game mechanics work despite being hundreds of hours deep in the game.  In some ways this might be seen as a bad thing in that it signifies there isn't a lot of transparency in the game on how things work, but that's not the case for the most part.  For the most part it's just that there are so many things to do that until you look each one up in the in-game civilopedia you only understand the basic concepts and not the behind-the-scenes mechanics.There are some things I would love to see improved in the next iteration, like combat.  Especially the way simultaneous-turn multiplayer combat is handled.  Right now in multiplayer it's kind of a click-fest to see who attacks with their units faster.  I can empathize with the devs because it's hard to come up with a perfect way to fix this.  When a combat starts, do you just kind of pause the game for everyone and wait for all units on either side to take turns making attacks?  That wouldn't be fun for players not in combat.  But if you allow players to just attack each other at full speed in real-time, it creates an element of a real-time-strategy game that feels out of place given that this game is turn-based.  My idea for this would be to just adjust the way that combat works to give less of an attacker's advantage except in the most extreme circumstances.  For example, if a slinger attacks a warrior, the warrior shouldn't just sit there and lose half its health.  They should engage each other simultaneously so it doesn't matter if the player with the warrior clicked first or the player with the slinger clicked first.  The only times this wouldn't be the case is when attacking from more than 1 range, such as an archer 2 hexes away, in which case having a melee attacker run all the way across 2 hexes wouldn't make sense and some advantage should go to the player that is using range.  That being said, if an archer is attacking something that can attack back like another archer, they should simultaneously attack each other whenever either player attacks so that it's more fair and isn't just ""who clicked first"" or ""who is host and has less delay.""But other than the multiplayer combat issues and some minor multiplayer desync issues the game is a blast",Positive
Product received for freeEarly Access Reviewgood gaem,Positive
"SaneWizard thinks this game is absolutely amazing and its awful, by far the worst game ive ever played.",Negative
ttttt,Negative
my favorite game,Positive
"First 24 hours of having the game, there was a update and needless to say it broke my game. I cant play any park games, and not to mention the fact that the update didnt fix anything about the game. You are gonna have on and off games no matter what, you can go crazy and hit greens back to back one game, and the next game you are begging for anything to go in. This year they are going crazy with prices of everything, luckily you can get discounts but it still doesnt hide the fact that they are milking there players dry.",Negative
Is not it,Negative
One of the best games ever made!,Positive
im bad a the game but is still love it,Positive
i downloaded this game during finals week and OH BOY was that a mistake,Positive
I had to kill lesser dog in genocide,Negative
Early Access Review8,Negative
"Smooth action, engaging world. Love just exploring and immersing myself in the field of stars!",Positive
Gamercrack,Positive
No tuxedo cat option,Negative
M Rated Yo-kai Watch Clone,Negative
good,Positive
this game deserves nothing,Negative
too short but still good,Positive
The game just crashes non stop. I can't even get past the signing in screen.,Negative
"Amazing, still holds up 12 years later.",Positive
Its mad fun.  I dont really get what it has to  do witht he assassins creed story line yet but no worries,Positive
GOOD,Positive
Bad Game,Negative
"Its a good game, despite what people say about this game. its fun runner shooter game !",Positive
"A lot of people keep saying the game is bad due to bugs and what not. Lots of people saying about the performance issues. However if you take the time to try out different graphic settings then you will find you can make the game run extremely smooth.Yes, it would be good to have extra assets and mods but honestly im not too bothered because the game has only been out for a month and i dont expect everything to be perfect, like most people think.",Positive
great game would recommend.,Positive
"It's probably the best game ever made. Up there with Total Warhammer 2, Dark Souls, Skyrim",Positive
Way too many crashes to recommend,Negative
shutter so bad still its a joke,Negative
can't even open the game lol,Negative
how can graphics get worse?,Negative
"very fun makes me feel like batman, also real pretty runs good extreme sony polish please release bloodbrone to pc",Positive
"Lucky it this was a cheap wish list deal. Off the back of Fallout 4, I was expecting more but just as it was suggested it just continual soulless quests that got boring and repetitive quick.",Negative
that stupid dog absorbed me,Negative
too much hacker make this game not fun anymore,Negative
fun.,Positive
help i have an addiction,Positive
This game slaps.,Positive
low IQ devs,Negative
"Probably great if you're in it for the story. If you're in it for the combat, pick DOS 2 instead.Limited choices to make once in combat because the interesting options are time-locked to not be used often.The mechanics are largely based on dice rolls, making the game a poor fit for those who find joy in careful planning.",Negative
Love hunting giant robots,Positive
It nearly made me puke...NOT GOOD IF YOU HAVE MOTION SICKNESS!!!,Negative
Great game to kill time.,Positive
i love it,Positive
"Why do these games keep making me cryA lot of little improvements over irksome things from the first game, and enough little tweaks that even after doing everything in the great Spiderman 1 and it's mind-numbing DLCs, plus the Insanity new game plus run, this game was still refreshing enough to be as enjoyable of an experience as 1 was the first time around.This is shorter in length than 1, but the exciting moments are just more tightly packed now. Easily just as good as 1, definitely buy if you enjoyed the first.",Positive
It has lots of solo or coop action. You can't resist the urge to fine tune your favorite build.,Positive
Really enjoyed exploring the vast ocean,Positive
it was bussin,Positive
This is game is hard to play. And there were no tutorials to help with the basics. Very hard for beginners.,Negative
Product received for freeSimple but addictive.,Positive
Too addictive,Negative
why is Toriel kinda....,Negative
